timestamp,step,cohort,seed,status,output
2026-06-07T04:28:32.697711,grpo,baseline,0,FAILED,outputs/test_run/baseline/seed_0
2026-06-07T04:28:41.253127,grpo,A,0,FAILED,outputs/test_run/A/seed_0
2026-06-07T04:28:49.726492,grpo,B,0,FAILED,outputs/test_run/B/seed_0
2026-06-07T04:28:58.281957,grpo,C,0,FAILED,outputs/test_run/C/seed_0
2026-06-07T04:29:06.817216,grpo,D,0,FAILED,outputs/test_run/D/seed_0
2026-06-07T04:34:09.015858,grpo,baseline,0,OK,outputs/test_run/baseline/seed_0
2026-06-07T04:34:28.225387,grpo,A,0,OK,outputs/test_run/A/seed_0
2026-06-07T04:34:46.069669,grpo,B,0,OK,outputs/test_run/B/seed_0
2026-06-07T04:35:05.382503,grpo,C,0,OK,outputs/test_run/C/seed_0
2026-06-07T04:35:18.500402,grpo,D,0,OK,outputs/test_run/D/seed_0
